population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,session,FPT1,FPT2,FPT3,Food_intake
shaded,shadedH,shadedH9,3B,yes,2.9,0.76,22.6,0,3,2,9,51,94,0.1475
shaded,shadedJ,shadedJ1,3B,no,2.8,0.75,23.7,0,1,1,14,78,130,0.2688
shaded,shadedJ,shadedJ1,3B,no,2.8,0.75,23.7,0,1,2,15,48,84,0.3798
shaded,shadedJ,shadedJ2,3B,no,3.39,0.9,22,0,1,1,22,45,91,0.1689
shaded,shadedJ,shadedJ2,3B,no,3.39,0.9,22,0,1,2,18,51,103,0.1273
shaded,shadedJ,shadedJ3,3B,no,4.14,0.92,24.5,0,2,1,60,1200,1200,0.2804
shaded,shadedJ,shadedJ3,3B,no,4.14,0.92,24.5,0,2,2,5,35,76,0.2445
shaded,shadedJ,shadedJ4,3B,no,3.09,1.03,23.2,0,1,1,21,93,176,0.2237
shaded,shadedJ,shadedJ4,3B,no,3.09,1.03,23.2,0,1,2,17,45,73,0.0273
shaded,shadedJ,shadedJ5,3B,no,2.79,0.69,21.8,0,2,1,1200,1200,1200,0.0728000000000001
shaded,shadedJ,shadedJ5,3B,no,2.79,0.69,21.8,0,2,2,26,82,169,0.131
shaded,shadedJ,shadedJ6,3B,no,4.26,1.1,24,0,1,1,23,69,244,0.2045
shaded,shadedJ,shadedJ6,3B,no,4.26,1.1,24,0,1,2,48,93,133,0.1773
shaded,shadedJ,shadedJ7,5B,yes,4.17,1.2,24.6,0,1,1,16,55,124,0.086
shaded,shadedJ,shadedJ7,5B,yes,4.17,1.2,24.6,0,1,2,18,58,110,0.2873
shaded,shadedJ,shadedJ8,5B,yes,3.39,1.21,23.9,0,3,1,49,223,331,0.1451
shaded,shadedJ,shadedJ8,5B,yes,3.39,1.21,23.9,0,3,2,29,87,398,0.00440000000000007
shaded,shadedJ,shadedJ9,5B,yes,3.09,0.81,22.9,0,2,1,17,38,92,0.3196
shaded,shadedJ,shadedJ9,5B,yes,3.09,0.81,22.9,0,2,2,10,41,160,0.4308
shaded,shadedK,shadedK1,5B,yes,4.07,1.18,24.8,0,2,1,15,38,80,0.1606
shaded,shadedK,shadedK1,5B,yes,4.07,1.18,24.8,0,2,2,15,44,81,0.2855
shaded,shadedK,shadedK2,5B,no,3.45,0.87,23.2,0,1,1,19,55,123,0.3214
