population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,Nematode_white_encaps,Nematode_dark_encaps,Acari_encaps,Nematode_0_1_free,Nematode_1_3_free,Nematode_3_5_free,Nematode_5_plus_free,Nematode_1_3_lung,Nematode_3_5_lung,Nematode_5_plus_lung,Acari_kidney,Acari_digestive,Trematode_kidney
shaded,shadedK,shadedK2,5B,no,3.45,0.87,23.2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedK,shadedK3,5B,no,2.18,0.57,20,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedK,shadedK4,5B,no,3.22,0.79,22.4,0,1,5,21,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedK,shadedK5,5B,yes,2.7,0.86,22.6,0,1,5,16,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedK,shadedK6,5B,yes,3.34,0.78,22.2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedK,shadedK7,5B,no,1.78,0.47,18.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedK,shadedK8,5B,no,1.53,0.36,18.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedK,shadedK9,5B,yes,2.75,0.8,25,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedQ,shadedQ1,5B,no,3.82,0.94,23.2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0
shaded,shadedQ,shadedQ2,5B,no,2.76,0.61,22.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedQ,shadedQ3,5B,no,3.79,0.94,23.3,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedQ,shadedQ4,5B,no,3.54,0.89,23.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedQ,shadedQ5,5B,yes,3.31,0.84,23.5,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedQ,shadedQ6,5B,no,3.08,0.63,22,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0
